*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 107    51  341.41    0.00    0.00   0.00   0.00   1.35   0.00   0.00   0.74   0.13   0.00    0.05      0.19      -1.35   0.00  -0.19
 2003 108    52  339.69    0.00    0.00   0.00   0.00   0.79   0.00   0.00   0.68   0.19   0.00    0.05      0.24      -0.79   0.00  -0.24
 2003 109    53  338.32    0.00    0.00   0.00   0.00   0.49   0.00   0.00   0.63   0.24   0.00    0.01      0.25      -0.49   0.00  -0.25
 2003 110    54  336.97    0.00    0.00   0.00   0.00   0.35   0.00   0.00   0.60   0.25   0.00    0.14      0.39      -0.35   0.00  -0.39
 2003 111    55  335.94    0.00    0.00   0.00   0.00   0.22   0.00   0.00   0.56   0.39   0.00   -0.14      0.25      -0.22   0.00  -0.25
 2003 112    56  334.70    0.00    0.00   0.00   0.00   0.06   0.00   0.00   0.54   0.25   0.00    0.39      0.64      -0.06   0.00  -0.64
 2003 113    57  333.45    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.51   0.64   0.00    0.10      0.74       0.00   0.00  -0.74
 2003 114    58  332.31    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.49   0.74   0.00   -0.10      0.64       0.00   0.00  -0.64
 2003 115    59  358.86    0.00    0.00   0.00  27.90   0.00   0.00   0.00   1.14   0.64   0.00   -0.43      0.21      27.90   0.00  -0.21
 2003 116    60  355.38    0.00    0.00   0.00   2.00   0.22   0.00   0.00   4.24   0.21   0.00    0.80      1.01       1.78   0.00  -1.01
 2003 117    61  348.71    0.00    0.00   0.00   0.00   3.06   0.00   0.00   2.47   1.01   0.00    0.12      1.14      -3.06   0.00  -1.14
 2003 118    62  344.28    0.00    0.00   0.00   0.00   1.58   0.00   0.00   1.39   1.14   0.00    0.33      1.47      -1.58   0.00  -1.47
 2003 119    63  340.77    0.00    0.00   0.00   0.00   0.94   0.00   0.00   1.09   1.47   0.00    0.01      1.48      -0.94   0.00  -1.48
 2003 120    64  343.15    0.00    0.00   0.00   7.40   0.00   0.00   0.00   3.23   1.48   0.00    0.31      1.79       7.40   0.00  -1.79
 2003 121    65  339.17    0.00    0.00   0.00   0.30   0.00   0.00   0.00   2.32   1.79   0.00    0.16      1.95       0.30   0.00  -1.95
 2003 122    66  339.83    0.00    0.00   0.00   6.60   0.00   0.00   0.00   3.63   1.95   0.00    0.36      2.32       6.60   0.00  -2.32
 2003 123    67  337.16    0.00    0.00   0.00   0.50   0.00   0.00   0.00   1.97   2.32   0.00   -1.12      1.19       0.50   0.00  -1.20
 2003 124    68  332.85    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.78   1.20   0.00    1.34      2.53       0.00   0.00  -2.53
 2003 125    69  329.09    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.24   2.53   0.00   -0.02      2.51       0.00   0.00  -2.51
 2003 126    70  325.46    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.01   2.51   0.00    0.11      2.63       0.00   0.00  -2.63
 2003 127    71  322.05    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.71   2.63   0.00    0.07      2.70       0.00   0.00  -2.70
 2003 128    72  318.85    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.17   2.70   0.00    0.32      3.02       0.00   0.00  -3.02
 2003 129    73  315.07    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.11   3.02   0.00    0.65      3.67       0.00   0.00  -3.67
 2003 130    74  311.21    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.06   3.67   0.00    0.13      3.80       0.00   0.00  -3.80
 2003 131    75  307.63    0.00    0.00   0.00   0.30   0.00   0.00   0.00   0.04   3.80   0.00    0.03      3.83       0.30   0.00  -3.83
