*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 087    31    30    6.5      1   0.01      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.781  0.000   1.39   0.00   0.00      0      0    150.3   0.00   0.00   0.31   0.26   0.05   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 088    32    31    6.7      1   0.01      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.784  0.000   1.37   0.00   0.00      0      0    146.1   0.00   0.00   0.32   0.26   0.05   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 089    33    32    6.8      1   0.01      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.791  0.000   1.37   0.00   0.00      0      0    140.6   0.00   0.00   0.32   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 090    34    33    6.8      1   0.01      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.791  0.000   1.36   0.00   0.00      0      0    135.2   0.00   0.00   0.33   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 091    35    34    6.9      1   0.00      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.790  0.000   1.36   0.00   0.00      0      0    130.5   0.00   0.00   0.33   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 092    36    35    7.2      1   0.00      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.788  0.000   1.34   0.00   0.00      0      0    126.9   0.00   0.00   0.34   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 093    37    36    7.4      1   0.00      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.790  0.000   1.33   0.00   0.00      0      0    123.3   0.00   0.00   0.35   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 094    38    37    7.6      1   0.00      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.791  0.000   1.31   0.00   0.00      0      0    120.1   0.00   0.00   0.36   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 095    39    38    7.9      1   0.00      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.791  0.000   1.30   0.00   0.00      0      0    117.2   0.00   0.00   0.38   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 096    40    39    8.2      1   0.00      4      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.792  0.000   1.28   0.00   0.00      0      0    114.8   0.00   0.00   0.39   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 097    41    40    8.5      1   0.00      4      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.794  0.000   4.28   0.00   0.00      0      0    112.0   0.00   0.00   0.40   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
