*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2003 167   111  22.20  34.10  20.80  5.679  5.679  3.308  2.371  0.000  275.9  124.1  151.8    0.0
 2003 168   112  21.40  31.20  20.80  5.310  5.310  3.093  2.217  0.000  281.2  127.1  154.0    0.0
 2003 169   113  11.20  27.50  22.20  2.697  2.697  1.571  1.126  0.000  283.9  128.7  155.2    0.0
 2003 170   114  18.80  31.30  22.00  4.709  4.709  2.743  1.966  0.000  288.6  131.5  157.1    0.0
 2003 171   115  13.40  29.10  21.70  3.271  3.271  1.906  1.366  0.000  291.8  133.4  158.5    0.0
 2003 172   116  29.40  30.50  20.30  7.214  6.076  4.202  1.874  0.000  297.9  137.6  160.4    0.0
 2003 173   117  29.70  31.40  17.70  7.222  6.394  4.207  2.188  0.000  304.3  141.8  162.5    0.0
 2003 174   118  27.90  32.30  20.40  6.984  5.410  4.068  1.342  0.000  309.7  145.8  163.9    0.0
 2003 175   119  26.70  31.80  20.20  6.639  4.929  3.867  1.062  0.000  314.7  149.7  164.9    0.0
 2003 176   120  27.70  31.30  19.90  6.836  4.889  3.982  0.907  0.000  319.5  153.7  165.9    0.0
 2003 177   121  28.10  32.50  21.00  7.079  4.929  4.124  0.805  0.000  324.5  157.8  166.7    0.0
 2003 178   122  28.40  32.30  20.80  7.129  4.876  4.144  0.731  0.000  329.4  162.0  167.4    0.0
 2003 179   123  16.30  29.90  21.10  3.997  2.842  2.328  0.514  0.000  332.2  164.3  167.9    0.0
 2003 180   124  14.10  28.80  20.70  3.406  2.169  1.984  0.185  0.000  334.4  166.3  168.1    0.0
 2003 181   125  17.70  30.90  21.00  4.384  4.384  2.554  1.830  0.000  338.7  168.8  169.9    0.0
 2003 182   126   8.20  27.40  21.40  1.960  1.960  1.142  0.818  0.000  340.7  170.0  170.7    0.0
 2003 183   127  16.00  28.10  22.50  3.886  3.886  2.264  1.622  0.000  344.6  172.2  172.4    0.0
 2003 184   128  22.70  29.70  21.80  5.582  5.582  3.249  2.334  0.000  350.2  175.5  174.7    0.0
 2003 185   129  18.90  29.80  22.30  4.671  4.669  2.700  1.969  0.000  354.8  178.2  176.7    0.0
 2003 186   130  27.10  31.70  22.60  6.852  5.884  3.934  1.950  0.000  360.7  182.1  178.6    0.0
 2003 187   131  18.00  31.70  21.60  4.521  4.521  2.576  1.945  0.000  365.2  184.7  180.6    0.0
 2003 188   132  17.80  31.90  23.00  4.526  4.406  2.561  1.845  0.000  369.7  187.3  182.4    0.0
 2003 189   133  28.60  33.10  22.30  7.332  5.373  4.115  1.257  0.000  375.0  191.4  183.7    0.0
 2003 190   134  25.70  33.10  23.10  6.628  4.710  3.690  1.019  0.000  379.7  195.1  184.7    0.0
 2003 191   135  26.40  32.60  23.60  6.800  4.635  3.755  0.880  0.000  384.4  198.8  185.6    0.0
 2003 192   136  22.70  32.30  23.20  5.815  3.970  3.184  0.786  0.000  388.3  202.0  186.3    0.0
 2003 193   137  24.50  32.20  22.60  6.246  4.108  3.391  0.717  0.000  392.4  205.4  187.1    0.0
 2003 194   138  17.90  29.10  21.80  4.392  3.024  2.361  0.663  0.000  395.5  207.7  187.7    0.0
 2003 195   139  15.60  28.50  20.90  3.779  2.454  2.018  0.436  0.000  397.9  209.8  188.2    0.0
 2003 196   140  24.20  31.30  21.30  6.064  3.434  3.214  0.220  0.000  401.4  213.0  188.4    0.0
 2003 197   141  25.50  34.20  22.10  6.626  3.667  3.482  0.185  0.000  405.0  216.5  188.6    0.0
 2003 198   142  15.80  31.90  22.00  4.008  2.227  2.086  0.140  0.000  407.3  218.5  188.7    0.0
 2003 199   143  25.30  32.20  21.80  6.432  6.330  3.318  3.012  0.000  413.6  221.9  191.7    0.0
 2003 200   144  19.90  31.20  22.10  5.019  4.776  2.565  2.211  0.000  418.4  224.4  193.9    0.0
 2003 201   145  26.70  32.30  21.10  6.768  6.581  3.426  3.155  0.000  424.9  227.9  197.1    0.0
 2003 202   146  22.30  31.80  22.50  5.678  4.319  2.875  1.444  0.000  429.3  230.7  198.5    0.0
