*PLANT N OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2003 150    94    93   35.0    0.0   35.0   0.00   2.09   52.9   26.3    8.7    2.1   2.09   1.10    0.00    9.64
 2003 151    95    94   35.0    0.0   35.0   0.00   2.08   52.9   26.2    8.8    2.1   2.08   1.09    0.00    9.64
 2003 152    96    95   35.0    0.0   35.0   0.00   2.07   52.9   26.0    8.9    2.1   2.07   1.08    0.00    9.64
 2003 153    97    96   35.0    0.0   35.0   0.00   2.06   52.9   25.9    9.1    2.1   2.06   1.07    0.00    9.64
 2003 154    98    97   35.0    0.0   35.0   0.00   2.01   52.9   25.3    9.7    2.0   2.01   1.07    0.00    9.64
 2003 155    99    98   35.0    0.0   35.0   0.00   1.95   52.9   24.4   10.5    1.9   1.95   1.03    0.00    9.64
 2003 156   100    99   35.0    0.0   35.0   0.00   1.85   52.9   23.3   11.7    1.9   1.85   1.00    0.00    9.64
 2003 157   101   100   35.0    0.0   35.0   0.00   1.78   52.9   22.3   12.7    1.8   1.78   1.00    0.00    9.64
 2003 158   102   101   35.0    0.0   35.0   0.00   1.70   52.9   21.3   13.6    1.7   1.70   0.99    0.00    9.64
 2003 159   103   102   35.0    0.0   35.0   0.00   1.63   52.9   20.4   14.6    1.6   1.63   0.98    0.00    9.64
 2003 160   104   103   35.0    0.0   35.0   0.00   1.56   52.9   19.5   15.4    1.6   1.56   0.95    0.00    9.64
 2003 161   105   104   35.0    0.0   35.0   0.00   1.49   52.9   18.7   16.2    1.5   1.49   0.92    0.00    9.64
 2003 162   106   105   35.0    0.0   35.0   0.00   1.43   52.9   18.0   17.0    1.4   1.43   0.90    0.00    9.64
 2003 163   107   106   35.0    0.0   35.0   0.00   1.38   52.9   17.3   17.7    1.4   1.38   0.88    0.00    9.64
 2003 164   108   107   35.0    0.0   35.0   0.00   1.33   52.9   16.7   18.3    1.3   1.33   0.87    0.00    9.64
 2003 165   109   108   35.0    0.0   35.0   0.00   1.28   52.9   16.1   18.9    1.3   1.28   0.85    0.00    9.64
 2003 166   110   109   35.0    0.0   35.0   0.00   1.24   52.9   15.6   19.4    1.2   1.24   0.83    0.00    9.64
 2003 167   111   110   35.0    0.0   35.0   0.00   1.20   52.9   15.1   19.9    1.2   1.20   0.81    0.00    9.64
 2003 168   112   111   35.0    0.0   35.0   0.00   1.16   52.9   14.6   20.4    1.2   1.16   0.80    0.00    9.64
 2003 169   113   112   35.0    5.1   29.8   0.95   1.23   52.9   15.5   14.4    1.2   1.23   0.80    0.00    9.64
 2003 170   114   113   35.0    6.4   28.6   0.96   1.18   52.9   14.8   13.8    1.2   1.18   0.81    0.00    9.64
 2003 171   115   114   35.0    7.6   27.3   0.98   1.14   52.9   14.4   13.0    1.1   1.14   0.81    0.00    9.64
 2003 172   116   115   35.0    8.9   26.1   0.99   1.07   52.9   13.4   12.7    1.1   1.07   0.81    0.00    9.64
 2003 173   117   116   28.8   10.1   18.7   1.00   0.75   53.0    9.5    9.2    0.8   0.75   1.09    0.00   10.49
 2003 174   118   117   29.6   11.4   18.2   0.99   0.74   54.1    9.2    9.0    0.7   0.74   1.09    0.00   11.65
 2003 175   119   118   30.5   12.6   17.9   0.98   0.72   55.2    9.1    8.8    0.7   0.72   1.09    0.00   12.82
 2003 176   120   119   31.4   13.9   17.6   0.98   0.71   56.5    8.9    8.7    0.7   0.71   1.09    0.00   13.99
 2003 177   121   120   32.4   15.1   17.3   0.98   0.70   57.8    8.7    8.5    0.7   0.70   1.09    0.00   15.18
 2003 178   122   121   33.3   16.4   16.9   0.98   0.68   59.1    8.6    8.4    0.7   0.68   1.09    0.00   16.38
 2003 179   123   122   33.3   17.6   15.7   1.00   0.63   59.1    7.9    7.8    0.6   0.63   1.10    0.00   16.38
 2003 180   124   123   34.8   18.8   16.0   1.02   0.65   59.7    8.1    7.9    0.6   0.65   1.06    0.00   16.38
 2003 181   125   124   35.9   20.1   15.8   1.03   0.64   60.9    8.0    7.8    0.6   0.64   1.07    0.00   16.38
 2003 182   126   125   35.9   21.3   14.6   1.05   0.60   60.9    7.5    7.1    0.6   0.60   1.07    0.00   16.38
 2003 183   127   126   37.5   22.5   15.0   1.07   0.61   62.2    7.7    7.3    0.6   0.61   1.07    0.00   16.38
 2003 184   128   127   38.7   23.7   15.0   1.09   0.61   63.9    7.6    7.4    0.6   0.61   1.08    0.00   16.38
 2003 185   129   128   39.5   24.9   14.6   1.10   0.59   64.6    7.4    7.2    0.6   0.59   1.08    0.00   16.38
 2003 186   130   129   40.6   26.2   14.4   1.11   0.58   66.4    7.3    7.1    0.6   0.58   1.10    0.00   16.38
 2003 187   131   130   41.4   27.5   13.9   1.12   0.56   66.6    7.0    6.9    0.6   0.56   1.07    0.00   16.38
 2003 188   132   131   42.3   28.7   13.5   1.14   0.55   67.6    6.9    6.7    0.5   0.55   1.07    0.00   16.38
 2003 189   133   132   43.4   30.0   13.4   1.15   0.54   69.5    6.8    6.6    0.5   0.54   1.10    0.00   16.38
 2003 190   134   133   44.2   31.3   12.9   1.16   0.52   70.4    6.5    6.4    0.5   0.52   1.09    0.00   17.60
 2003 191   135   134   45.2   32.6   12.6   1.17   0.51   71.7    6.4    6.2    0.5   0.51   1.10    0.00   17.60
 2003 192   136   135   46.0   33.9   12.1   1.19   0.49   72.5    6.1    6.0    0.5   0.49   1.09    0.00   18.82
 2003 193   137   136   46.9   35.2   11.8   1.20   0.48   73.9    6.0    5.8    0.5   0.48   1.09    0.00   20.03
 2003 194   138   137   47.8   36.4   11.4   1.22   0.46   74.5    5.8    5.6    0.5   0.46   1.08    0.00   21.26
 2003 195   139   138   48.6   37.6   11.0   1.24   0.45   75.4    5.6    5.5    0.4   0.45   1.07    0.00   22.47
 2003 196   140   139   49.7   38.8   10.8   1.25   0.44   77.2    5.5    5.4    0.4   0.44   1.09    0.00   23.66
 2003 197   141   140   50.6   40.2   10.5   1.27   0.42   78.6    5.3    5.2    0.4   0.42   1.10    0.00   24.89
 2003 198   142   141   51.4   41.4   10.0   1.29   0.40   79.1    5.1    5.0    0.4   0.40   1.08    0.00   26.13
 2003 199   143   142   52.5   42.7    9.8   1.31   0.40   80.9    5.0    4.8    0.4   0.40   1.10    0.00   27.33
 2003 200   144   143   53.4   43.9    9.4   1.33   0.38   81.8    4.8    4.6    0.4   0.38   1.09    0.00   28.57
 2003 201   145   144   53.4   43.9    9.4   1.33   0.38   82.6    4.8    4.6    0.4   0.38   1.09    0.00   28.57
 2003 202   146   145   53.4   40.8   12.5   1.23   0.51   83.5    6.4    6.2    0.5   0.51   1.09    0.00   28.57
