*WEATHER MODULE DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2003 125    69    0.0   13.4   14.3   23.7   47.4   0.23   29.5   20.4   24.9   26.6   20.4   24.9   26.6   28.2    330
 2003 126    70    0.0   13.4   14.4   22.5   45.0   0.27   31.1   22.3   26.7   28.3   22.3   26.7   28.3   28.2    330
 2003 127    71    0.0   13.4   14.4   21.9   43.8   0.29   30.8   22.2   26.5   28.0   22.2   26.5   28.0   28.2    330
 2003 128    72    0.0   13.4   14.4   23.5   47.0   0.24   30.6   20.9   25.7   27.5   20.9   25.7   27.5   28.2    330
 2003 129    73    0.0   13.5   14.4   27.1   54.2   0.13   31.4   20.7   26.0   28.0   20.7   26.0   28.0   28.2    330
 2003 130    74    0.0   13.5   14.5   26.8   53.6   0.14   31.6   21.1   26.4   28.2   21.1   26.4   28.2   28.2    330
 2003 131    75    0.3   13.5   14.5   25.7   51.4   0.18   32.8   21.1   27.0   29.1   21.1   27.0   29.1   28.2    330
 2003 132    76    0.3   13.5   14.5   28.0   56.0   0.11   27.1   17.2   22.2   24.0   17.2   22.2   24.0   28.2    330
 2003 133    77    0.0   13.6   14.6   28.0   56.0   0.11   27.2   12.9   20.1   22.7   12.9   20.1   22.7   28.2    330
 2003 134    78    0.0   13.6   14.6   18.5   37.0   0.41   28.7   14.6   21.7   24.2   14.6   21.7   24.2   28.2    330
 2003 135    79    1.5   13.6   14.6   17.9   35.8   0.43   28.5   19.6   24.1   25.7   19.6   24.1   25.7   28.2    330
 2003 136    80    0.0   13.6   14.6   19.2   38.4   0.39   31.8   20.8   26.3   28.3   20.8   26.3   28.3   28.2    330
 2003 137    81    0.0   13.6   14.7   26.4   52.8   0.17   31.3   21.2   26.3   28.1   21.2   26.3   28.1   28.2    330
 2003 138    82    7.4   13.7   14.7   21.9   43.8   0.31   31.1   20.0   25.6   27.6   20.0   25.6   27.6   28.2    330
 2003 139    83    0.3   13.7   14.7   16.0   32.0   0.50   28.0   19.5   23.8   25.3   19.5   23.8   25.3   28.2    330
 2003 140    84    0.0   13.7   14.7   15.8   31.6   0.50   25.0   17.0   21.0   22.5   17.0   21.0   22.5   28.2    330
 2003 141    85    0.0   13.7   14.7   20.4   40.8   0.36   27.6   18.3   23.0   24.7   18.3   23.0   24.7   28.2    330
 2003 142    86   14.7   13.7   14.8    3.9    7.8   0.88   22.0   18.2   20.1   20.8   18.2   20.1   20.8   28.2    330
 2003 143    87    0.0   13.8   14.8   14.2   28.4   0.56   24.7   18.0   21.4   22.6   18.0   21.4   22.6   28.2    330
 2003 144    88    0.0   13.8   14.8   26.7   53.4   0.17   29.1   15.8   22.5   24.9   15.8   22.5   24.9   28.2    330
 2003 145    89    0.0   13.8   14.8   25.3   50.6   0.21   30.3   17.8   24.1   26.4   17.8   24.1   26.4   28.2    330
 2003 146    90    0.0   13.8   14.9   21.7   43.4   0.33   29.5   20.0   24.8   26.5   20.0   24.8   26.5   28.2    330
 2003 147    91    0.0   13.8   14.9   18.7   37.4   0.42   26.9   17.4   22.2   23.9   17.4   22.2   23.9   28.2    330
