JE	70.8	67	12.8	14.1	16.5	18.9
JE 	80.1	79.5	8.6	7.6	11.4	12.9
JE 	56.2	55.1	19.1	19.6	24.7	25.4
JE 	21	21.1	36.9	40.1	42.2	38.9
JT	11.7	7.8	36.8	40.3	51.5	52
JT 	-1	-1	-1	-1	-1	-1
JT 	30	9.1	36.7	48.6	33.3	42.3
JT 	5.8	7.4	34	37.5	60.2	55.2
K	39.1	42.6	37	33.9	23.9	23.4
KH	54.5	60.4	27.3	22.9	18.2	16.7
KH 	-1	-1	-1	-1	-1	-1
KH 	54.5	60.4	27.3	22.9	18.2	16.7
KH 	-1	-1	-1	-1	-1	-1
KK	16.5	20.7	48.9	48	34.4	31.3
KK 	-1	-1	-1	-1	-1	-1
KK 	18.5	26.9	54.9	47.7	26.7	25.5
KK 	12.5	11.8	37	39.3	50	48.9
KL	36.7	42.4	40.3	33.8	23.1	23.9
KL 	-1	-1	-1	-1	-1	-1
KL 	35.1	50.1	45.8	31.7	19	18.2
KL 	41.4	39	23.5	22.8	35.2	38.2
L	70.4	64.5	10.3	9.9	19.3	25.7
LA	87.5	81.8	6.2	5.9	6.4	12.3
LA 	90.1	84.5	4.5	4.6	5.3	10.9
LA 	47.8	40.3	30.3	25.1	21.9	34.6
LA 	-1	-1	-1	-1	-1	-1
LC	64.3	59	12.2	11.2	23.5	29.8
LC 	80.2	73.3	7.7	6.9	12.1	19.8
LC 	57.6	51	16.4	15.9	26.1	33.1
LC 	29.2	31.4	13.6	12.3	57.3	56.6
LF	74.6	67.7	9.6	8.9	15.9	23.4
LF 	82.2	75.1	7.3	6.7	10.5	18.3
LF 	64.4	55.8	13.5	12.9	22.1	31.3
LF 	26.9	26.1	19.1	18.2	54.1	55.6
LG	59.9	53.4	13.4	12.6	26.7	34
LG 	81.7	71.9	6	5.8	12.3	22.3
LG 	55.4	48.5	18.3	17.5	26.3	34.1
LG 	42.4	41.3	12.7	10.6	44.9	48.2
LK	75.4	69.5	7.4	8.2	17.2	22.4
LK 	84.3	79.7	5.1	5	10.6	15.4
LK 	64	55.3	10.9	12.5	25.2	32.2
LK 	46.7	39.1	14.8	17.7	38.6	43.3
LO	76	71.9	9.9	8.9	14.1	19.2
LO 	87.1	81.6	4.2	4.2	8.7	14.3
LO 	53.7	49.6	23.3	22.1	23	28.3
LO 	43.5	43.1	13.4	12.3	43.1	44.6
LP	69.9	57.5	10.5	10.9	19.5	31.6
LP 	74.8	65.1	11	11.6	14.2	23.3
LP 	65.1	49.9	10.1	10.2	24.9	39.9
LP 	-1	-1	-1	-1	-1	-1
LV	26.1	26.8	27.3	22.5	46.7	50.9
LV 	-1	-1	-1	-1	-1	-1
LV 	48.4	36.3	28.3	25.1	23.3	38.7
LV 	23.8	17.2	28	19.8	48.4	63
M	37.9	47.9	35	30.4	27.1	21.6
MG	-1	-1	-1	-1	-1	-1
